Mouse name,x,Reward Size,70,Licks per reward,3,Initial drop,70,Recording duration,11,Reward window,5,Track Length,1000
Time,Valve,Lick,LickCount,Reward,RewardCount,Distance,TotalDistance,RewardWindow,InitialDrop,InitialDropCount,ImagingTrigger,TTLpulse,TTLpulseCount,LapCount
1050,0,0,0,0,0,356,356,0,0,0,0,0,0,0
1060,0,0,0,0,0,362,362,0,0,0,0,0,0,0
1070,0,0,0,0,0,366,366,0,0,0,0,0,0,0
1080,0,0,0,0,0,373,373,0,0,0,0,0,0,0
1090,0,0,0,0,0,379,379,0,0,0,0,0,0,0
1100,0,0,0,0,0,383,383,0,0,0,0,0,0,0
1110,0,0,0,0,0,388,388,0,0,0,0,0,0,0
1120,0,0,0,0,0,390,390,0,0,0,0,0,0,0
1130,0,0,0,0,0,390,390,0,0,0,0,0,0,0
1140,0,0,0,0,0,390,390,0,0,0,0,0,0,0
1150,0,0,0,0,0,390,390,0,0,0,0,0,0,0
1160,0,0,0,0,0,390,390,0,0,0,0,0,0,0
1170,0,0,0,0,0,390,390,0,0,0,0,0,0,0
1180,0,0,0,0,0,390,390,0,0,0,0,0,0,0
1190,0,0,0,0,0,390,390,0,0,0,0,0,0,0
1200,0,0,0,0,0,390,390,0,0,0,0,0,0,0
1210,0,0,0,0,0,390,390,0,0,0,0,0,0,0
1220,0,0,0,0,0,390,390,0,0,0,0,0,0,0
1230,0,0,0,0,0,390,390,0,0,0,0,0,0,0
1240,0,0,0,0,0,390,390,0,0,0,0,0,0,0
1250,0,0,0,0,0,390,390,0,0,0,0,0,0,0
1260,0,0,0,0,0,390,390,0,0,0,0,0,0,0
1270,0,0,0,0,0,390,390,0,0,0,0,0,0,0
1280,0,0,0,0,0,390,390,0,0,0,0,0,0,0
1290,0,0,0,0,0,390,390,0,0,0,0,0,0,0
1300,0,0,0,0,0,390,390,0,0,0,0,0,0,0
1310,0,0,0,0,0,390,390,0,0,0,0,0,0,0
1320,0,0,0,0,0,390,390,0,0,0,0,0,0,0
1330,0,0,0,0,0,390,390,0,0,0,0,0,0,0
1340,0,0,0,0,0,390,390,0,0,0,0,0,0,0
1350,0,0,0,0,0,390,390,0,0,0,0,0,0,0
1360,0,0,0,0,0,390,390,0,0,0,0,0,0,0
1370,0,0,0,0,0,390,390,0,0,0,0,0,0,0
1380,0,0,0,0,0,390,390,0,0,0,0,0,0,0
1390,0,0,0,0,0,390,390,0,0,0,0,0,0,0
1400,0,0,0,0,0,390,390,0,0,0,0,0,0,0
1410,0,0,0,0,0,390,390,0,0,0,0,0,0,0
1420,0,0,0,0,0,390,390,0,0,0,0,0,0,0
1430,0,0,0,0,0,390,390,0,0,0,0,0,0,0
1440,0,0,0,0,0,390,390,0,0,0,0,0,0,0
1450,0,0,0,0,0,390,390,0,0,0,0,0,0,0
1460,0,0,0,0,0,390,390,0,0,0,0,0,0,0
1470,0,0,0,0,0,390,390,0,0,0,0,0,0,0
1480,0,0,0,0,0,390,390,0,0,0,0,0,0,0
1490,0,0,0,0,0,390,390,0,0,0,0,0,0,0
1500,0,0,0,0,0,390,390,0,0,0,0,0,0,0
1510,0,0,0,0,0,390,390,0,0,0,0,0,0,0
1520,0,0,0,0,0,390,390,0,0,0,0,0,0,0
1530,0,0,0,0,0,390,390,0,0,0,0,0,0,0
1540,0,0,0,0,0,390,390,0,0,0,0,0,0,0
1550,0,0,0,0,0,390,390,0,0,0,0,0,0,0
1560,0,0,0,0,0,390,390,0,0,0,0,0,0,0
1570,0,0,0,0,0,390,390,0,0,0,0,0,0,0
1580,0,0,0,0,0,390,390,0,0,0,0,0,0,0
1590,0,0,0,0,0,390,390,0,0,0,0,0,0,0
1600,0,0,0,0,0,390,390,0,0,0,0,0,0,0
1610,0,0,0,0,0,390,390,0,0,0,0,0,0,0
1620,0,0,0,0,0,390,390,0,0,0,0,0,0,0
1630,0,0,0,0,0,390,390,0,0,0,0,0,0,0
1640,0,0,0,0,0,390,390,0,0,0,0,0,0,0
1650,0,0,0,0,0,390,390,0,0,0,0,0,0,0
1660,0,0,0,0,0,390,390,0,0,0,0,0,0,0
1670,0,0,0,0,0,394,394,0,0,0,0,0,0,0
1680,0,0,0,0,0,398,398,0,0,0,0,0,0,0
1690,0,0,0,0,0,402,402,0,0,0,0,0,0,0
1700,0,0,0,0,0,407,407,0,0,0,0,0,0,0
1710,0,0,0,0,0,411,411,0,0,0,0,0,0,0
1720,0,0,0,0,0,416,416,0,0,0,0,0,0,0
1730,0,0,0,0,0,421,421,0,0,0,0,0,0,0
1740,0,0,0,0,0,425,425,0,0,0,0,0,0,0
1750,0,0,0,0,0,430,430,0,0,0,0,0,0,0
1760,0,0,0,0,0,435,435,0,0,0,0,0,0,0
1770,0,0,0,0,0,440,440,0,0,0,0,0,0,0
1780,0,0,0,0,0,446,446,0,0,0,0,0,0,0
1790,0,0,0,0,0,449,449,0,0,0,0,0,0,0
1800,0,0,0,0,0,454,454,0,0,0,0,0,0,0
1810,0,0,0,0,0,460,460,0,0,0,0,0,0,0
1820,0,0,0,0,0,465,465,0,0,0,0,0,0,0
1830,0,0,0,0,0,471,471,0,0,0,0,0,0,0
1840,0,0,0,0,0,475,475,0,0,0,0,0,0,0
1850,0,0,0,0,0,480,480,0,0,0,0,0,0,0
1860,0,0,0,0,0,486,486,0,0,0,0,0,0,0
1870,0,0,0,0,0,491,491,0,0,0,0,0,0,0
1880,0,0,0,0,0,497,497,0,0,0,0,0,0,0
1890,0,0,0,0,0,503,503,0,0,0,0,0,0,0
1900,0,0,0,0,0,507,507,0,0,0,0,0,0,0
1910,0,0,0,0,0,513,513,0,0,0,0,0,0,0
1920,0,0,0,0,0,517,517,0,0,0,0,0,0,0
1930,0,0,0,0,0,522,522,0,0,0,0,0,0,0
1940,0,0,0,0,0,527,527,0,0,0,0,0,0,0
1950,0,0,0,0,0,533,533,0,0,0,0,0,0,0
1960,0,0,0,0,0,538,538,0,0,0,0,0,0,0
1970,0,0,0,0,0,544,544,0,0,0,0,0,0,0
1980,0,0,0,0,0,550,550,0,0,0,0,0,0,0
1990,0,0,0,0,0,555,555,0,0,0,0,0,0,0
2000,0,0,0,0,0,560,560,0,0,0,0,0,0,0
2010,0,0,0,0,0,565,565,0,0,0,0,0,0,0
2020,0,0,0,0,0,570,570,0,0,0,0,0,0,0
2030,0,0,0,0,0,576,576,0,0,0,0,0,0,0
2040,0,0,0,0,0,583,583,0,0,0,0,0,0,0
2050,0,0,0,0,0,587,587,0,0,0,0,0,0,0
2060,0,0,0,0,0,590,590,0,0,0,0,0,0,0
2070,0,0,0,0,0,590,590,0,0,0,0,0,0,0
2080,0,0,0,0,0,590,590,0,0,0,0,0,0,0
2090,0,0,0,0,0,593,593,0,0,0,0,0,0,0
2100,0,0,0,0,0,592,592,0,0,0,0,0,0,0
2110,0,0,0,0,0,592,592,0,0,0,0,0,0,0
2120,0,0,0,0,0,594,594,0,0,0,0,0,0,0
2130,0,0,0,0,0,595,595,0,0,0,0,0,0,0
2140,0,0,0,0,0,594,594,0,0,0,0,0,0,0
2150,0,0,0,0,0,594,594,0,0,0,0,0,0,0
2160,0,0,0,0,0,592,592,0,0,0,0,0,0,0
2170,0,0,0,0,0,590,590,0,0,0,0,0,0,0
2180,0,0,0,0,0,589,589,0,0,0,0,0,0,0
2190,0,0,0,0,0,587,587,0,0,0,0,0,0,0
2200,0,0,0,0,0,587,587,0,0,0,0,0,0,0
2210,0,0,0,0,0,585,585,0,0,0,0,0,0,0
2220,0,0,0,0,0,583,583,0,0,0,0,0,0,0
2230,0,0,0,0,0,583,583,0,0,0,0,0,0,0
2240,0,0,0,0,0,582,582,0,0,0,0,0,0,0
2250,0,0,0,0,0,580,580,0,0,0,0,0,0,0
2260,0,0,0,0,0,580,580,0,0,0,0,0,0,0
2270,0,0,0,0,0,578,578,0,0,0,0,0,0,0
2280,0,0,0,0,0,577,577,0,0,0,0,0,0,0
2290,0,0,0,0,0,578,578,0,0,0,0,0,0,0
2300,0,0,0,0,0,576,576,0,0,0,0,0,0,0
2310,0,0,0,0,0,576,576,0,0,0,0,0,0,0
2320,0,0,0,0,0,575,575,0,0,0,0,0,0,0
2330,0,0,0,0,0,575,575,0,0,0,0,0,0,0
2340,0,0,0,0,0,574,574,0,0,0,0,0,0,0
2350,0,0,0,0,0,574,574,0,0,0,0,0,0,0
2360,0,0,0,0,0,573,573,0,0,0,0,0,0,0
2370,0,0,0,0,0,573,573,0,0,0,0,0,0,0
2380,0,0,0,0,0,574,574,0,0,0,0,0,0,0
2390,0,0,0,0,0,573,573,0,0,0,0,0,0,0
2400,0,0,0,0,0,573,573,0,0,0,0,0,0,0
2410,0,0,0,0,0,572,572,0,0,0,0,0,0,0
2420,0,0,0,0,0,573,573,0,0,0,0,0,0,0
2430,0,0,0,0,0,573,573,0,0,0,0,0,0,0
2440,0,0,0,0,0,572,572,0,0,0,0,0,0,0
2450,0,0,0,0,0,573,573,0,0,0,0,0,0,0
2460,0,0,0,0,0,573,573,0,0,0,0,0,0,0
2470,0,0,0,0,0,575,575,0,0,0,0,0,0,0
2480,0,0,0,0,0,575,575,0,0,0,0,0,0,0
2490,0,0,0,0,0,576,576,0,0,0,0,0,0,0
2500,0,0,0,0,0,576,576,0,0,0,0,0,0,0
2510,0,0,0,0,0,579,579,0,0,0,0,0,0,0
2520,0,0,0,0,0,581,581,0,0,0,0,0,0,0
2530,0,0,0,0,0,584,584,0,0,0,0,0,0,0
2540,0,0,0,0,0,588,588,0,0,0,0,0,0,0
2550,0,0,0,0,0,592,592,0,0,0,0,0,0,0
2560,0,0,0,0,0,595,595,0,0,0,0,0,0,0
2570,0,0,0,0,0,598,598,0,0,0,0,0,0,0
2580,0,0,0,0,0,604,604,0,0,0,0,0,0,0
2590,0,0,0,0,0,610,610,0,0,0,0,0,0,0
2600,0,0,0,0,0,616,616,0,0,0,0,0,0,0
2610,0,0,0,0,0,624,624,0,0,0,0,0,0,0
2620,0,0,0,0,0,630,630,0,0,0,0,0,0,0
2630,0,0,0,0,0,638,638,0,0,0,0,0,0,0
2640,0,0,0,0,0,644,644,0,0,0,0,0,0,0
2650,0,0,0,0,0,651,651,0,0,0,0,0,0,0
2660,0,0,0,0,0,663,663,0,0,0,0,0,0,0
2670,0,0,0,0,0,673,673,0,0,0,0,0,0,0
2680,0,0,0,0,0,683,683,0,0,0,0,0,0,0
2690,0,0,0,0,0,693,693,0,0,0,0,0,0,0
2700,0,0,0,0,0,703,703,0,0,0,0,0,0,0
2710,0,0,0,0,0,713,713,0,0,0,0,0,0,0
2720,0,0,0,0,0,724,724,0,0,0,0,0,0,0
2730,0,0,0,0,0,734,734,0,0,0,0,0,0,0
2740,0,0,0,0,0,744,744,0,0,0,0,0,0,0
2750,0,0,0,0,0,754,754,0,0,0,0,0,0,0
2760,0,0,0,0,0,763,763,0,0,0,0,0,0,0
2770,0,0,0,0,0,773,773,0,0,0,0,0,0,0
2780,0,0,0,0,0,783,783,0,0,0,0,0,0,0
2790,0,0,0,0,0,792,792,0,0,0,0,0,0,0
2800,0,0,0,0,0,803,803,0,0,0,0,0,0,0
2810,0,0,0,0,0,812,812,0,0,0,0,0,0,0
2820,0,0,0,0,0,820,820,0,0,0,0,0,0,0
2830,0,0,0,0,0,831,831,0,0,0,0,0,0,0
2840,0,0,0,0,0,841,841,0,0,0,0,0,0,0
2850,0,0,0,0,0,849,849,0,0,0,0,0,0,0
2860,0,0,0,0,0,858,858,0,0,0,0,0,0,0
2870,0,0,0,0,0,866,866,0,0,0,0,0,0,0
2880,0,0,0,0,0,875,875,0,0,0,0,0,0,0
2890,0,0,0,0,0,883,883,0,0,0,0,0,0,0
2900,0,0,0,0,0,891,891,0,0,0,0,0,0,0
2910,0,0,0,0,0,900,900,0,0,0,0,0,0,0
2920,0,0,0,0,0,909,909,0,0,0,0,0,0,0
2930,0,0,0,0,0,918,918,0,0,0,0,0,0,0
2940,0,0,0,0,0,925,925,0,0,0,0,0,0,0
2950,0,0,0,0,0,934,934,0,0,0,0,0,0,0
2960,0,0,0,0,0,942,942,0,0,0,0,0,0,0
2970,0,0,0,0,0,948,948,0,0,0,0,0,0,0
2980,0,0,0,0,0,956,956,0,0,0,0,0,0,0
2990,0,0,0,0,0,964,964,0,0,0,0,0,0,0
3000,0,0,0,0,0,972,972,0,0,0,0,0,0,0
3010,0,0,0,0,0,980,980,0,0,0,0,0,0,0
3020,0,0,0,0,0,988,988,0,0,0,0,0,0,0
3030,0,0,0,0,0,995,995,0,0,0,0,0,0,0
3034,0,0,0,0,0,0,1000,0,0,0,0,0,0,1
3034,0,0,0,1,1,0,1000,0,0,0,0,0,0,1
3050,0,0,0,0,1,2,1002,1,0,0,0,0,0,1
3060,0,0,0,0,1,9,1009,1,0,0,0,0,0,1
3070,0,0,0,0,1,15,1015,1,0,0,0,0,0,1
3080,0,0,0,0,1,24,1024,1,0,0,0,0,0,1
3090,0,0,0,0,1,30,1030,1,0,0,0,0,0,1
3100,0,0,0,0,1,36,1036,1,0,0,0,0,0,1
3110,0,0,0,0,1,40,1040,1,0,0,0,0,0,1
3120,0,0,0,0,1,40,1040,1,0,0,0,0,0,1
3130,0,0,0,0,1,40,1040,1,0,0,0,0,0,1
3140,0,0,0,0,1,40,1040,1,0,0,0,0,0,1
3150,0,0,0,0,1,40,1040,1,0,0,0,0,0,1
3160,0,0,0,0,1,40,1040,1,0,0,0,0,0,1
3170,0,0,0,0,1,40,1040,1,0,0,0,0,0,1
3180,0,0,0,0,1,40,1040,1,0,0,0,0,0,1
3190,0,0,0,0,1,40,1040,1,0,0,0,0,0,1
3200,0,0,0,0,1,40,1040,1,0,0,0,0,0,1
3210,0,0,0,0,1,40,1040,1,0,0,0,0,0,1
3220,0,0,0,0,1,40,1040,1,0,0,0,0,0,1
3230,0,0,0,0,1,40,1040,1,0,0,0,0,0,1
3240,0,0,0,0,1,40,1040,1,0,0,0,0,0,1
3250,0,0,0,0,1,40,1040,1,0,0,0,0,0,1
3260,0,0,0,0,1,40,1040,1,0,0,0,0,0,1
3270,0,0,0,0,1,40,1040,1,0,0,0,0,0,1
3280,0,0,0,0,1,40,1040,1,0,0,0,0,0,1
3290,0,0,0,0,1,40,1040,1,0,0,0,0,0,1
3300,0,0,0,0,1,40,1040,1,0,0,0,0,0,1
3310,0,0,0,0,1,40,1040,1,0,0,0,0,0,1
3320,0,0,0,0,1,40,1040,1,0,0,0,0,0,1
3330,0,0,0,0,1,40,1040,1,0,0,0,0,0,1
3340,0,0,0,0,1,40,1040,1,0,0,0,0,0,1
3350,0,0,0,0,1,40,1040,1,0,0,0,0,0,1
3360,0,0,0,0,1,40,1040,1,0,0,0,0,0,1
3370,0,0,0,0,1,40,1040,1,0,0,0,0,0,1
3380,0,0,0,0,1,40,1040,1,0,0,0,0,0,1
3390,0,0,0,0,1,40,1040,1,0,0,0,0,0,1
3400,0,0,0,0,1,40,1040,1,0,0,0,0,0,1
3410,0,0,0,0,1,40,1040,1,0,0,0,0,0,1
3420,0,0,0,0,1,40,1040,1,0,0,0,0,0,1
3430,0,0,0,0,1,40,1040,1,0,0,0,0,0,1
3440,0,0,0,0,1,43,1043,1,0,0,0,0,0,1
3450,0,0,0,0,1,49,1049,1,0,0,0,0,0,1
3460,0,0,0,0,1,55,1055,1,0,0,0,0,0,1
3470,0,0,0,0,1,63,1063,1,0,0,0,0,0,1
3480,0,0,0,0,1,69,1069,1,0,0,0,0,0,1
3490,0,0,0,0,1,76,1076,1,0,0,0,0,0,1
3500,0,0,0,0,1,83,1083,1,0,0,0,0,0,1
3510,0,0,0,0,1,90,1090,1,0,0,0,0,0,1
3520,0,0,0,0,1,98,1098,1,0,0,0,0,0,1
3530,0,0,0,0,1,105,1105,1,0,0,0,0,0,1
3540,0,0,0,0,1,113,1113,1,0,0,0,0,0,1
3550,0,0,0,0,1,119,1119,1,0,0,0,0,0,1
3560,0,0,0,0,1,127,1127,1,0,0,0,0,0,1
3570,0,0,0,0,1,134,1134,1,0,0,0,0,0,1
3580,0,0,0,0,1,144,1144,1,0,0,0,0,0,1
3590,0,0,0,0,1,151,1151,1,0,0,0,0,0,1
3600,0,0,0,0,1,158,1158,1,0,0,0,0,0,1
3610,0,0,0,0,1,165,1165,1,0,0,0,0,0,1
3620,0,0,0,0,1,171,1171,1,0,0,0,0,0,1
3630,0,0,0,0,1,179,1179,1,0,0,0,0,0,1
3640,0,0,0,0,1,186,1186,1,0,0,0,0,0,1
3650,0,0,0,0,1,194,1194,1,0,0,0,0,0,1
3660,0,0,0,0,1,201,1201,1,0,0,0,0,0,1
3670,0,0,0,0,1,209,1209,1,0,0,0,0,0,1
3680,0,0,0,0,1,216,1216,1,0,0,0,0,0,1
3690,0,0,0,0,1,223,1223,1,0,0,0,0,0,1
3700,0,0,0,0,1,229,1229,1,0,0,0,0,0,1
3710,0,0,0,0,1,237,1237,1,0,0,0,0,0,1
3720,0,0,0,0,1,242,1242,1,0,0,0,0,0,1
3730,0,0,0,0,1,251,1251,1,0,0,0,0,0,1
3740,0,0,0,0,1,257,1257,1,0,0,0,0,0,1
3750,0,0,0,0,1,265,1265,1,0,0,0,0,0,1
3760,0,0,0,0,1,270,1270,1,0,0,0,0,0,1
3770,0,0,0,0,1,275,1275,1,0,0,0,0,0,1
3780,0,0,0,0,1,280,1280,1,0,0,0,0,0,1
3790,0,0,0,0,1,288,1288,1,0,0,0,0,0,1
3800,0,0,0,0,1,294,1294,1,0,0,0,0,0,1
3810,0,0,0,0,1,300,1300,1,0,0,0,0,0,1
3820,0,0,0,0,1,306,1306,1,0,0,0,0,0,1
3830,0,0,0,0,1,314,1314,1,0,0,0,0,0,1
3840,0,0,0,0,1,319,1319,1,0,0,0,0,0,1
3850,0,0,0,0,1,326,1326,1,0,0,0,0,0,1
